timestamp,altitude(m),battery(%),lat,lon,mode
1747402808.7966747,4.02,100,-35.3632624,149.1652374,AUTO
1747402809.2988174,3.771,100,-35.3632624,149.1652374,AUTO
1747402809.7996488,3.521,100,-35.3632624,149.1652374,AUTO
1747402810.3004694,3.395,100,-35.3632624,149.1652374,AUTO
1747402810.8015985,3.145,100,-35.3632624,149.1652374,AUTO
1747402811.3023484,3.02,100,-35.3632624,149.1652374,AUTO
1747402811.803006,2.77,100,-35.3632624,149.1652374,AUTO
1747402812.3034606,2.645,100,-35.3632624,149.1652374,AUTO
1747402812.8047304,2.395,100,-35.3632624,149.1652374,AUTO
1747402813.3062596,2.144,100,-35.3632624,149.1652374,AUTO
1747402813.8071384,2.019,100,-35.3632624,149.1652374,AUTO
1747402814.307917,1.769,100,-35.3632624,149.1652374,AUTO
1747402814.809404,1.644,100,-35.3632624,149.1652374,AUTO
1747402815.3099086,1.519,100,-35.3632624,149.1652374,AUTO
1747402815.8108957,1.27,100,-35.3632624,149.1652374,AUTO
1747402816.3117163,1.145,100,-35.3632624,149.1652374,AUTO
1747402816.8121083,0.897,100,-35.3632624,149.1652374,AUTO
1747402817.3126242,0.648,100,-35.3632624,149.1652374,AUTO
1747402817.8134155,0.523,100,-35.3632624,149.1652374,AUTO
1747402818.31388,0.273,100,-35.3632624,149.1652374,AUTO
1747402818.814661,0.148,100,-35.3632624,149.1652374,AUTO
1747402819.315425,0.141,100,-35.3632624,149.1652374,AUTO
1747402819.8163984,0.293,100,-35.3632624,149.1652374,AUTO
1747402820.317087,0.403,100,-35.3632624,149.1652374,AUTO
1747402820.8214767,0.549,100,-35.3632624,149.1652374,AUTO
1747402821.3223085,0.603,100,-35.3632624,149.1652374,AUTO
1747402821.8230503,0.705,100,-35.3632624,149.1652374,AUTO
1747402822.3237686,0.737,100,-35.3632624,149.1652374,AUTO
1747402822.824709,0.807,100,-35.3632624,149.1652374,AUTO
1747402823.325401,0.845,100,-35.3632624,149.1652374,AUTO
